first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Massimo,Anelli,pan451, @massimo_anelli ,3,0,22,385,518,254
David,Angenendt,pan468, @datanecon ,3,0,22,278,"1,278",180
Erik,Angner,pan161, @erikangner ,3,1,35,"4,615","2,604","2,650"
Joshua,Angrist,pan29, @metrics52 ,48,85,11762,131,182,"3,682"
John,Anyanwu,pan390, @jcanyanwu ,13,17,486,"11,000",232,180
Sebastian,Aparicio,pap38, @sebasaparicio15 ,2,1,18,"3,605",182,201
Edson,Araujo,par133, @araujoec ,1,0,2,59,86,62
Eva,Arceo-Gomez,par290, @evaoarceo ,5,4,112,"3,195",466,900
Rodrigo,Arim,par339, @rodrigoarim1 ,5,0,50,635,824,"3,035"
BjÌ?rn,Arnarson,par416, @bjorci ,1,0,4,184,535,115
Leticia,Arroyo Abad,par370, @larroyoabad ,3,1,32,"3,486",626,437
Benito,ArruÌ±ada,par20, @benitoarrunada ,7,5,203,"32,400",733,"7,294"
Nuran,Arslaner,par337, @noorarx ,2,0,7,6,495,81
Ferhat,Arslaner,par395, @farslaner ,3,0,16,390,888,165
Julio,Arteaga,par292, @jc_artegar ,1,0,4,"4,120",72,346
Nikos,Askitas,pas55, @askitas ,4,3,145,"5,251",126,268
Susan,Athey,pat6, @susan_athey ,24,33,2151,346,401,"10,300"
